Song,Artist,Streams_Billions,Release Date
Blinding Lights,The Weeknd,3.449,11/29/2019
Shape of You,Ed Sheeran,3.398,1/6/2017
Dance Monkey,Tones And I,2.77,5/10/2019
Someone You Loved,Lewis Capaldi,2.68,11/8/2018
Rockstar,Post Malone featuring 21 Savage,2.62,9/15/2017
Sunflower,Post Malone and Swae Lee,2.575,10/18/2018
One Dance,Drake featuring Wizkid and Kyla,2.556,4/5/2016
Closer,The Chainsmokers featuring Halsey,2.481,7/29/2016
Stay,The Kid Laroi and Justin Bieber,2.432,7/9/2021
Believer,Imagine Dragons,2.41,2/1/2017
Señorita,Shawn Mendes and Camila Cabello,2.365,6/21/2019
Perfect,Ed Sheeran,2.361,3/3/2017
Heat Waves,Glass Animals,2.32,6/29/2020
Say You Won't Let Go,James Arthur,2.269,9/9/2016
Starboy,The Weeknd featuring Daft Punk,2.258,9/21/2016
Bad Guy,Billie Eilish,2.223,3/29/2019
Thinking Out Loud,Ed Sheeran,2.177,6/20/2014
Lucid Dreams,Juice WRLD,2.177,5/4/2018
Don't Start Now,Dua Lipa,2.17,11/1/2019
Lovely,Billie Eilish and Khalid,2.158,4/19/2018
Watermelon Sugar,Harry Styles,2.14,5/15/2020
God's Plan,Drake,2.126,1/19/2018
Photograph,Ed Sheeran,2.099,6/20/2014
Bohemian Rhapsody,Queen,2.069,10/31/1975
Something Just Like This,The Chainsmokers and Coldplay,2.061,2/22/2017
Sweater Weather,The Neighbourhood,2.041,3/28/2012
Shallow,Lady Gaga and Bradley Cooper,2.035,9/27/2018
As It Was,Harry Styles,2.012,4/1/2022
Love Yourself,Justin Bieber,2.003,11/9/2015
Circles,Post Malone,1.99,8/30/2019
Sad!,XXXTentacion,1.987,3/1/2018
Take Me to Church,Hozier,1.984,9/13/2013
All of Me,John Legend,1.973,8/12/2013
Thunder,Imagine Dragons,1.926,4/27/2017
7 Rings,Ariana Grande,1.924,1/18/2019
Goosebumps,Travis Scott featuring Kendrick Lamar,1.911,9/2/2016
Jocelyn Flores,XXXTentacion,1.905,10/31/2017
Havana,Camila Cabello featuring Young Thug,1.861,8/3/2017
Stressed Out,Twenty One Pilots,1.86,4/28/2015
XO Tour Llif3,Lil Uzi Vert,1.847,3/24/2017
Counting Stars,OneRepublic,1.843,3/25/2013
New Rules,Dua Lipa,1.825,6/2/2017
Wake Me Up,Avicii,1.824,6/17/2013
Riptide,Vance Joy,1.819,5/21/2013
Happier,Marshmello and Bastille,1.817,8/17/2018
Humble,Kendrick Lamar,1.812,3/30/2017
Let Her Go,Passenger,1.811,7/24/2012
The Hills,The Weeknd,1.802,5/27/2015
Sicko Mode,Travis Scott featuring Drake,1.794,8/3/2018
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,1.778,8/16/2011
Good 4 U,Olivia Rodrigo,1.763,5/14/2021
Sorry,Justin Bieber,1.76,10/22/2015
One Kiss,Calvin Harris and Dua Lipa,1.755,4/6/2018
Let Me Love You,DJ Snake featuring Justin Bieber,1.747,8/5/2016
Drivers License,Olivia Rodrigo,1.734,1/8/2021
Lean On,Major Lazer and DJ Snake featuring MØ,1.728,3/2/2015
Treat You Better,Shawn Mendes,1.725,6/3/2016
Roses (Imanbek remix),Saint Jhn with Imanbek,1.723,9/18/2019
Better Now,Post Malone,1.71,4/27/2018
Stay with Me,Sam Smith,1.709,4/14/2014
Congratulations,Post Malone featuring Quavo,1.703,11/4/2016
Faded,Alan Walker,1.699,12/3/2015
Without Me,Halsey,1.692,10/4/2018
Industry Baby,Lil Nas X featuring Jack Harlow,1.691,7/23/2021
Lose Yourself,Eminem,1.68,10/28/2002
Memories,Maroon 5,1.68,9/20/2019
Demons,Imagine Dragons,1.679,9/4/2012
Mr. Brightside,The Killers,1.677,6/7/2004
Uptown Funk,Mark Ronson featuring Bruno Mars,1.673,11/10/2014
Too Good at Goodbyes,Sam Smith,1.673,9/8/2017
Levitating,Dua Lipa featuring DaBaby,1.666,10/1/2020
I Took a Pill in Ibiza (Seeb Remix),Mike Posner and Seeb,1.666,4/14/2015
Don't Let Me Down,The Chainsmokers featuring Daya,1.664,2/5/2016
"Thank U, Next",Ariana Grande,1.652,11/3/2018
I Don't Care,Ed Sheeran and Justin Bieber,1.647,5/10/2019
Dakiti,Bad Bunny and Jhay Cortez,1.647,10/30/2020
Montero (Call Me by Your Name),Lil Nas X,1.642,3/26/2021
Mood,24kGoldn and Iann Dior,1.628,7/24/2020
Do I Wanna Know?,Arctic Monkeys,1.627,6/19/2013
Unforgettable,French Montana featuring Swae Lee,1.616,4/7/2017
Dynamite,BTS,1.606,8/21/2020
Despacito (remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,1.601,4/17/2017
Moonlight,XXXTentacion,1.6,3/16/2018
Wonderwall,Oasis,1.593,10/30/1995
No Role Modelz,J. Cole,1.592,8/4/2014
That's What I Like,Bruno Mars,1.587,11/18/2016
The Box,Roddy Ricch,1.586,12/6/2019
'Till I Collapse,Eminem featuring Nate Dogg,1.579,5/26/2002
There's Nothing Holdin' Me Back,Shawn Mendes,1.579,4/20/2017
Stitches,Shawn Mendes,1.559,4/14/2015
Cheap Thrills,Sia,1.555,1/29/2016
Smells Like Teen Spirit,Nirvana,1.553,9/10/1991
See You Again,Wiz Khalifa featuring Charlie Puth,1.54,3/10/2015
I'm Yours,Jason Mraz,1.533,2/12/2008
I Like Me Better,Lauv,1.53,5/19/2017
7 Years,Lukas Graham,1.529,6/16/2015
Yellow,Coldplay,1.527,6/26/2000
Sugar,Maroon 5,1.524,8/29/2014
Despacito,Luis Fonsi featuring Daddy Yankee,1.522,1/12/2017
Don't Stop Me Now,Queen,1.521,1/26/1979
